miniWiper Concatenated Data File
Logger:             5958-292374
Concatenation Date: 2019Jun14 16:04:02 EDT
Wipe Type: 1 Scrub: 0 Angle: 45 (deg)
Timeout: 10 (second)  Threshold: 200 (mA)


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Wipes Completed,     Wipe Time,  Forward Start Current,  Average Current,  Reverse Start Current,  Final Current,  Source Resistance
                  (Second),                        (none),                        (none),        (Volt),       (deg C),           (none),      (second),                   (mA),             (mA),                   (mA),           (mA),              (Ohm)
                1545127200,           2018-12-18 10:00:00,           2018-12-18 05:00:00,      3.430000,     12.014000,              712,           6.1,                   92.3,             83.4,                   92.3,          227.8,                1.2
                1545134400,           2018-12-18 12:00:00,           2018-12-18 07:00:00,      3.430000,     11.754000,              713,           6.2,                   93.1,             85.4,                   93.1,          221.3,                1.2
                1545141600,           2018-12-18 14:00:00,           2018-12-18 09:00:00,      3.430000,     11.232000,              714,           6.1,                   92.5,             82.8,                   92.5,          229.9,                1.3
                1545148800,           2018-12-18 16:00:00,           2018-12-18 11:00:00,      3.430000,     11.754000,              715,           6.2,                   93.4,             85.3,                   93.4,          223.2,                1.3
                1545156000,           2018-12-18 18:00:00,           2018-12-18 13:00:00,      3.360000,     10.450000,              716,           6.1,                   96.4,             83.0,                   96.4,          215.2,                1.3
                1545163200,           2018-12-18 20:00:00,           2018-12-18 15:00:00,      3.420000,     11.232000,              717,           6.1,                   90.8,             82.1,                   90.8,          236.4,                1.2
                1545170400,           2018-12-18 22:00:00,           2018-12-18 17:00:00,      3.430000,     12.014000,              718,           6.2,                   93.4,             84.2,                   93.4,          231.5,                1.2
                1545177600,           2018-12-19 00:00:00,           2018-12-18 19:00:00,      3.430000,     12.014000,              719,           6.0,                   91.9,             82.0,                   91.9,          200.6,                1.2
                1545184800,           2018-12-19 02:00:00,           2018-12-18 21:00:00,      3.430000,     11.754000,              720,           6.2,                   93.6,             84.3,                   93.6,          231.2,                1.2
                1545192000,           2018-12-19 04:00:00,           2018-12-18 23:00:00,      3.430000,     12.014000,              721,           6.0,                   91.1,             81.9,                   91.1,          204.2,                1.3
                1545199200,           2018-12-19 06:00:00,           2018-12-19 01:00:00,      3.430000,     11.493000,              722,           6.2,                   93.4,             83.9,                   93.4,          233.8,                1.3
                1545206400,           2018-12-19 08:00:00,           2018-12-19 03:00:00,      3.370000,     11.493000,              723,           6.1,                   96.1,             81.9,                   96.1,          232.2,                1.3
                1545213600,           2018-12-19 10:00:00,           2018-12-19 05:00:00,      3.420000,     11.232000,              724,           6.0,                   90.1,             81.5,                   90.1,          208.1,                1.2
                1545220800,           2018-12-19 12:00:00,           2018-12-19 07:00:00,      3.430000,     12.014000,              725,           6.1,                   92.0,             83.9,                   92.0,          201.2,                1.2
                1545228000,           2018-12-19 14:00:00,           2018-12-19 09:00:00,      3.430000,     11.754000,              726,           6.0,                   90.8,             81.9,                   90.8,          209.8,                1.2
                1545235200,           2018-12-19 16:00:00,           2018-12-19 11:00:00,      3.430000,     11.754000,              727,           6.1,                   93.0,             83.5,                   93.0,          200.7,                1.2
