Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2020-06-18T07:01:02Z,4.382,11.3955,1.5015,4.2288,55.412,40.293015,0.0649,0.806,6.549,159.4458,0.12373,4.149648410636791,0.022,999.6082,0
2020-06-18T07:01:02Z,4.387,11.3822,1.5189,4.2334,55.451,40.313678,0.0671,0.797,6.549,158.9556,0.1237,4.15425279376691,0.021,999.6097,0
2020-06-18T07:01:02Z,4.392,11.3716,1.5156,4.1669,55.446,40.309602,0.0681,0.776,6.548,158.5104,0.12369,4.155035635000472,0.02,999.6108,0
2020-06-18T07:01:02Z,4.397,11.3629,1.4804,4.0772,55.428,40.307198,0.0624,0.775,6.547,158.1071,0.12374,4.154565490139817,0.019,999.6118,0
2020-06-18T07:01:02Z,4.402,11.3543,1.4174,4.0064,55.373,40.284626,0.0609,0.787,6.547,157.8646,0.12376,4.151120280356189,0.019,999.6128,0
2020-06-18T07:01:02Z,4.407,11.3459,1.3837,3.9629,55.272,40.227128,0.0625,0.756,6.546,157.6437,0.12376,4.143966826790712,0.019,999.6137,0
2020-06-18T07:01:02Z,4.411,11.3434,1.3887,3.9293,55.194,40.183274,0.0584,0.718,6.545,157.3295,0.12374,4.137997247750524,0.02,999.6139,0
2020-06-18T07:01:02Z,4.416,11.3542,1.3916,3.909,55.196,40.198719,0.0581,0.743,6.544,156.9045,0.1237,4.136955800267253,0.021,999.6128,0
2020-06-18T07:01:02Z,4.421,11.3743,1.3706,3.9229,55.213,40.223463,0.0624,0.778,6.543,156.3763,0.12374,4.1360817760491715,0.022,999.6107,0
2020-06-18T07:01:02Z,4.427,11.3892,1.3355,3.9609,55.21,40.228569,0.0589,0.783,6.542,155.7616,0.12377,4.134185858626006,0.024,999.6091,0
2020-06-18T07:01:02Z,4.433,11.3983,1.3192,3.9907,55.256,40.260465,0.0509,0.789,6.54,155.1506,0.1237,4.136854103891611,0.024,999.6082,0
2020-06-18T07:01:02Z,4.441,11.4119,1.327,3.9744,55.315,40.29175,0.0573,0.775,6.539,154.6671,0.12356,4.140060452838412,0.023,999.6067,0
2020-06-18T07:01:02Z,4.448,11.4252,1.3435,3.9349,55.333,40.28945,0.0614,0.759,6.539,154.2181,0.12354,4.14002047920808,0.022,999.6054,0
2020-06-18T07:01:02Z,4.453,11.4318,1.3659,3.9259,55.359,40.296114,0.0583,0.761,6.539,153.7656,0.12368,4.141364649925227,0.021,999.6046,0
2020-06-18T07:01:02Z,4.456,11.4313,1.3787,3.968,55.39,40.308839,0.0618,0.74,6.539,153.3255,0.12376,4.143897952010543,0.02,999.6047,0
2020-06-18T07:01:02Z,4.46,11.4198,1.3845,3.9976,55.426,40.316344,0.0595,0.728,6.538,152.7683,0.12371,4.148055869322577,0.02,999.606,0
2020-06-18T07:01:02Z,4.466,11.4014,1.3881,3.9749,55.478,40.323364,0.0561,0.764,6.537,152.1049,0.12366,4.1542659081575115,0.02,999.6079,0
2020-06-18T07:01:02Z,4.472,11.3908,1.3839,3.934,55.533,40.330202,0.0602,0.799,6.537,151.4998,0.1237,4.159850285534384,0.021,999.6092,0
2020-06-18T07:01:02Z,4.478,11.3869,1.381,3.9152,55.568,40.335513,0.0564,0.818,6.536,150.959,0.12378,4.163087378867364,0.023,999.6097,0
2020-06-18T07:01:02Z,4.483,11.372,1.3811,3.9196,55.555,40.324088,0.0529,0.819,6.535,150.4699,0.12378,4.163713257691989,0.023,999.6112,0
2020-06-18T07:01:02Z,4.489,11.34,1.3861,3.8151,55.542,40.31901,0.0597,0.782,6.534,149.9737,0.12374,4.166254212372417,0.023,999.6147,0
2020-06-18T07:01:02Z,4.495,11.3043,1.3837,3.6125,55.572,40.337587,0.0615,0.757,6.534,149.3479,0.12373,4.172663034171232,0.024,999.6185,0
2020-06-18T07:01:02Z,4.501,11.2836,1.3713,3.4962,55.626,40.358273,0.0625,0.758,6.533,148.6684,0.12373,4.179322445480352,0.025,999.6207,0
2020-06-18T07:01:02Z,4.506,11.2867,1.3793,3.507,55.694,40.378691,0.065,0.723,6.532,148.0386,0.12373,4.184432140307677,0.026,999.6204,0
2020-06-18T07:01:02Z,4.512,11.2976,1.4128,3.6747,55.757,40.394001,0.0594,0.68,6.531,147.4976,0.12373,4.188260902469302,0.027,999.6193,0
2020-06-18T07:01:02Z,4.52,11.2951,1.4432,3.9102,55.825,40.416405,0.0558,0.7,6.53,147.1177,0.12371,4.194000680359877,0.027,999.6196,0
2020-06-18T07:01:02Z,4.529,11.2772,1.4519,3.9861,55.913,40.459116,0.0607,0.76,6.528,146.8012,0.1237,4.203089240621099,0.027,999.6215,0
2020-06-18T07:01:02Z,4.537,11.2489,1.4413,3.9399,55.945,40.46608,0.0562,0.813,6.528,146.2511,0.12373,4.208865044728385,0.026,999.6245,0
2020-06-18T07:01:02Z,4.542,11.2184,1.4197,3.8657,55.923,40.437124,0.049,0.838,6.528,145.5435,0.12376,4.210554268040311,0.024,999.6278,0
2020-06-18T07:01:02Z,4.548,11.1943,1.4007,3.776,55.92,40.426365,0.0532,0.838,6.527,144.87,0.12376,4.213048068512639,0.019,999.6303,0
2020-06-18T07:01:02Z,4.554,11.1768,1.3924,3.7131,55.979,40.462925,0.0587,0.817,6.526,144.0454,0.12378,4.21978812129374,0.016,999.6322,0
2020-06-18T07:01:02Z,4.557,11.1619,1.3866,3.6896,56.125,40.561799,0.0634,0.786,6.526,143.1444,0.12384,4.233250515560365,0.015,999.6337,0
2020-06-18T07:01:02Z,4.558,11.15,1.3786,3.6978,56.285,40.669716,0.0651,0.75,6.526,142.4087,0.12385,4.247511598226241,0.017,999.6349,0
2020-06-18T07:01:02Z,4.559,11.143,1.3618,3.7428,56.415,40.752134,0.065,0.704,6.526,141.77440000000001,0.12376,4.258800766256328,0.021,999.6357,0
